asset_id,asset_type,vuln_id,severity,timestamp,source,exploit_available,severity_score,age_days,business_impact,base_likelihood,age_modifier,likelihood,risk_score,risk_category,event_time,threat_likelihood,owner,normalized_risk,confidence,event_source_type,unified_risk,event_date
Linux_2k.log_structured,windows_event,E16,combo,2026-06-14 15:16:01+00:00,sshd(pam_unix),False,1.0,-160.58,1,0.1,0.0,0.0,0.0,Low,2026-06-14 15:16:01+00:00,,,,,linux,0.0,2026-06-14
Linux_2k.log_structured,windows_event,E27,combo,2026-06-14 15:16:02+00:00,sshd(pam_unix),False,1.0,-160.58,1,0.1,0.0,0.0,0.0,Low,2026-06-14 15:16:02+00:00,,,,,linux,0.0,2026-06-14
Linux_2k.log_structured,windows_event,E16,combo,2026-06-14 15:16:02+00:00,sshd(pam_unix),False,1.0,-160.58,1,0.1,0.0,0.0,0.0,Low,2026-06-14 15:16:02+00:00,,,,,linux,0.0,2026-06-14
Linux_2k.log_structured,windows_event,E18,combo,2026-06-15 02:04:59+00:00,sshd(pam_unix),False,1.0,-161.03,1,0.1,0.0,0.0,0.0,Low,2026-06-15 02:04:59+00:00,,,,,linux,0.0,2026-06-15
Linux_2k.log_structured,windows_event,E18,combo,2026-06-15 02:04:59+00:00,sshd(pam_unix),False,1.0,-161.03,1,0.1,0.0,0.0,0.0,Low,2026-06-15 02:04:59+00:00,,,,,linux,0.0,2026-06-15
Linux_2k.log_structured,windows_event,E18,combo,2026-06-15 02:04:59+00:00,sshd(pam_unix),False,1.0,-161.03,1,0.1,0.0,0.0,0.0,Low,2026-06-15 02:04:59+00:00,,,,,linux,0.0,2026-06-15
Linux_2k.log_structured,windows_event,E18,combo,2026-06-15 02:04:59+00:00,sshd(pam_unix),False,1.0,-161.03,1,0.1,0.0,0.0,0.0,Low,2026-06-15 02:04:59+00:00,,,,,linux,0.0,2026-06-15
Linux_2k.log_structured,windows_event,E18,combo,2026-06-15 02:04:59+00:00,sshd(pam_unix),False,1.0,-161.03,1,0.1,0.0,0.0,0.0,Low,2026-06-15 02:04:59+00:00,,,,,linux,0.0,2026-06-15
Linux_2k.log_structured,windows_event,E18,combo,2026-06-15 02:04:59+00:00,sshd(pam_unix),False,1.0,-161.03,1,0.1,0.0,0.0,0.0,Low,2026-06-15 02:04:59+00:00,,,,,linux,0.0,2026-06-15
Linux_2k.log_structured,windows_event,E18,combo,2026-06-15 02:04:59+00:00,sshd(pam_unix),False,1.0,-161.03,1,0.1,0.0,0.0,0.0,Low,2026-06-15 02:04:59+00:00,,,,,linux,0.0,2026-06-15
Linux_2k.log_structured,windows_event,E18,combo,2026-06-15 02:04:59+00:00,sshd(pam_unix),False,1.0,-161.03,1,0.1,0.0,0.0,0.0,Low,2026-06-15 02:04:59+00:00,,,,,linux,0.0,2026-06-15
Linux_2k.log_structured,windows_event,E18,combo,2026-06-15 02:04:59+00:00,sshd(pam_unix),False,1.0,-161.03,1,0.1,0.0,0.0,0.0,Low,2026-06-15 02:04:59+00:00,,,,,linux,0.0,2026-06-15
Linux_2k.log_structured,windows_event,E18,combo,2026-06-15 02:04:59+00:00,sshd(pam_unix),False,1.0,-161.03,1,0.1,0.0,0.0,0.0,Low,2026-06-15 02:04:59+00:00,,,,,linux,0.0,2026-06-15
Linux_2k.log_structured,windows_event,E102,combo,2026-06-15 04:06:18+00:00,su(pam_unix),False,1.0,-161.11,1,0.1,0.0,0.0,0.0,Low,2026-06-15 04:06:18+00:00,,,,,linux,0.0,2026-06-15
